Personnage,Réplique
DAME SÉLI,Tout dépend de ce que vous appelez un différend.
ARTHUR,Tiens ! Il y a pas eu un mot plus haut que l’autre ?
LÉODAGAN,Je l’ai pas dit fort !
DAME SÉLI,C’est pas de ça dont il a marre !
DAME SÉLI,Oh ! Vous voulez une tarte ?
LÉODAGAN,On parle pas comme ça à sa sœur !
DAME SÉLI,Ça va. On disait juste que le petit avait pas à dîner chez son ami Gauvain parce que c’est le beau-frère du Roi.
YVAIN,Je suis bien le frère de votre femme !
DAME SÉLI,Quoi ? Il n’en est pas question !
LÉODAGAN,Pourquoi à partir de demain ? Maintenant que l’idée est lancée…
DAME SÉLI,Avec des vieux ?
GUENIÈVRE,Quoi ?
LÉODAGAN,C’est un ordre !
LÉODAGAN,… c’est chez Gauvain.
KARADOC,Ça passe pas.
PERCEVAL,On est noués.
PERCEVAL,On est convoqués à la Table Ronde.
PERCEVAL,On a dû en faire une sévère…
ARTHUR,Ça fait la vingtième fois que je vous le dis : on attend une apparition de la Dame du Lac.
PERCEVAL,Votre cousine ?
ARTHUR,Mais absolument pas…
KARADOC,Il paraît qu’elle accepte de voir que vous.
PERCEVAL,Si elle accepte de voir que vous…
ARTHUR,Ah merde ! Là !
PERCEVAL,Elle va venir ?
ARTHUR,Elle est là ! Mais vous pouvez pas la voir !
ARTHUR,Vous êtes sûre qu’ils ont une destinée exceptionnelle ?
KARADOC,Qui ça ?
ARTHUR,Perceval ? Vous vous foutez de moi ?
ARTHUR,Ouais eh ben ?
KARADOC,Mais qui ?
ARTHUR,Voilà. Ça s’est pas trop mal passé !
PERCEVAL,J’ai rien compris.
PERCEVAL,Mais quand ?
KARADOC,Figurez-vous qu’on a un destin !
PERCEVAL,Alors regardez bien nos tronches parce que vous allez plus les voir longtemps. On a autre chose à foutre que de se râper les miches sur les tabourets de votre boui-boui !
PERCEVAL,Quand je pense qu’on a failli gâcher un destin pareil à boire des canons…
GUENIÈVRE,Et vous ? Vous me racontez pas votre petite journée ?
ARTHUR,Qu’est-ce qu’on attend pour quoi ? (vérifiant auprès de Père Blaise) Il veut toujours pas parler ?
CALOGRENANT,En plus !
BOHORT,Qu’est-ce que vous voulez qu’on y fasse ?
CALOGRENANT,C’est pourtant pas les solutions qui manquent !
BOHORT,Et c’est très bien comme ça.
ARTHUR,Et s’il craque pas ?
BOHORT,J’ai chaud. Je me sens pas très bien…
BOHORT,J’ai l’impression que je fais des palpitations…
BOHORT,Moins vicelard ?
ARTHUR,On coupe quoi avec ça ?
BOHORT,Ça vous ennuie si je vomis ?
ARTHUR,Donc vous mettez ce bout-là dans un orifice.
GUENIÈVRE,Un orifice ?
ARTHUR,Hein ? Ouais.
DEMETRA,Bonjour.
ARTHUR,Vous vouliez me voir ?
ARTHUR,Mmh. (désignant le tas de papier) Qu’est-ce que c’est que ce fatras ?
ARTHUR,Une loi ?
ARTHUR,Oui bon alors ?
ARTHUR,Rappelez-moi juste de quoi il s’agit.
ARTHUR,« Juste une…» Comment ça « juste une » ?
ARTHUR,Oui et alors ?
ARTHUR,Vous voulez dire… Guenièvre et… ?
ARTHUR,Je vais réfléchir un peu encore.
GUENIÈVRE,Une seule femme… Quelle idée…
ARTHUR,Qu’est-ce qu’il faut pas entendre comme conneries !
GUENIÈVRE,Et puis… vous vous ennuieriez avec une seule femme… Non ?
ARTHUR,Non.
GUENIÈVRE,Pourquoi non ?
ARTHUR,Parce que ! Non mais après… vous vous rendez compte ?
ARTHUR,Une confession ?
LANCELOT,Un gars avec une barbe et un bâton. Je suis sûr que c’est un Enchanteur.
MERLIN,Qu’est-ce que vous voulez que j’y fasse ?
LANCELOT,Il faut que vous soyez là pour protéger le Roi Arthur au cas où ça dérape !
AELIS,Je viens mander la jouissance de la Butte-aux-Cerfs pour mon usage personnel !
LANCELOT,Et la pluie de calamités ?
LANCELOT,Vous êtes pas à la hauteur ?
MERLIN,Oui pourquoi ?
ARTHUR,Vous avez plus pris de la pucelle.
ARTHUR,Ça va ! Vous allez pas nous sortir tout le curriculum ?
MERLIN,« Qu’est-ce qui est petit et marron ? »
AELIS,Un marron.
MERLIN,Attendez… (à Élias) Une autre ! Une autre !
ARTHUR,Et tâchez de pas foirer ! Je ne donne pas ma Butte-aux-Cerfs.
ARTHUR,Non mais c’est pas possible de voir ça !
MERLIN,Et… ?
AELIS,Et c’est tout.
AELIS,Quel persil ?
ARTHUR,Quoi qu’est bon ?
LANCELOT,Quand je pense qu’on a perdu la Butte-aux-Cerfs…
MERLIN,Ben dans l’eau !
LANCELOT,Mais c’est vrai en plus !
DAME SÉLI,Qu’est-ce que c’est encore que cette histoire de banquet ? Il faut arrêter de faire des banquets à cinquante personnes tous les mois !
DAME SÉLI,Et alors ?
BOHORT,Qui nous dit que les Chefs de Clan n’aiment pas les fruits de saison ?
BOHORT,Forcément.
BOHORT,Ce qui n’empêche pas de bien recevoir !
BOHORT,Trois porcs !
BOHORT,Je trouve ça d’une vulgarité sans précédent.
ARTHUR,Eh ben… ?
VENEC,Vous allez passer pour des…
ARTHUR,Pour des quoi ?
LÉODAGAN,POUR des qu’on peut pas se permettre de passer pour.
BOHORT,C’est pas parce qu’on invite des porcs qu’on est obligé d’en être un soi-même !
ARTHUR,Je prends le risque. J’aime pas l’image que ça donne de nous.
ARTHUR,Hein ? Qu’est-ce qui arrive ?
ARTHUR,Qu’est-ce que c’est ? GRÜDÜ — C’est un corbeau décédé.
ARTHUR,Alors ? C’est quoi ?
MERLIN,Ben… un corbeau mort.
MERLIN,Ouais… C’est peut-être un présage.
ARTHUR,Qu’est-ce que ça dit ? C’est mauvais ?
MERLIN,« Les poissons mourront de chaleur et d’eux naîtront des serpents qui sailliront les femmes qui donneront naissance à des cochons. »
ARTHUR,… divination.
DAME SÉLI,Ce serait étonnant !
MERLIN,Le message est clair : « Les fourrures couvriront les Chefs et les frères des Chefs. Un vent glacial fera couler le nez du voyageur et les Anciens devront mettre les pieds dans l’eau chaude. »
ARTHUR,Zut ! Là ! (à Merlin) Ensuite ?
ARTHUR,Quoi « plus rien » ? Vous voulez dire… la fin du monde ?
ARTHUR,Mais vous rigolez ou quoi ? Qu’est-ce que vous voulez que je foute d’un présage pareil ?
ARTHUR,Foutez-moi le camp !
MERLIN,« L’hiver » ? Quoi « l’hiver » ?
MERLIN,Quoi ?
ARTHUR,Qu’est-ce que vous me chantez ?
ARTHUR,Quoi ? Vous déconnez ?
DAME SÉLI,Qu’est-ce que je disais ?
DAME SÉLI,Peut-être pas ! Je vois pas le rapport avec la fourrure !
ARTHUR,On coule du nez quand on a le choléra ?
LÉODAGAN,Je sens que ça va encore être capital…
BOHORT,C’est à propos du Graal.
ARTHUR,Ça fait plaisir de voir que ça avance.
BOHORT,J’ai l’impression que vous ne saisissez pas bien la nuance…
BOHORT,Non mais je vous assure ! Vous auriez vu le vieil homme mystérieux qui m’a donné ces indications ! Il a fait ce geste…
ARTHUR,Quoi ? Mais vous nous avez jamais parlé de ça !
PERCEVAL,Ben non…
ARTHUR,Mais pourquoi ?
ARTHUR,Comment « j’ai arrêté le Graal » ?
LÉODAGAN,Vous voulez dire qu’on l’aurait trouvé ?
LANCELOT,Le Graal est un objet dont Joseph d’Arimathie s’est servi pour recueillir le sang de Jésus.
LÉODAGAN,La question c’est : « dans quoi d’autre peut-on recueillir du sang de Jésus ? »
BOHORT,Dans un récipient.
PERCEVAL,C’est pas compliqué : comment ils font les mecs avec les porcs pour le boudin ?
BOHORT,Avec un récipient !
PERCEVAL,Dans un bocal à anchois…
KARADOC,Ah bon ?
DEMETRA,Ça fait trois jours de suite que vous dormez avec moi.
ARTHUR,Vous en avez marre ?
LÉODAGAN,Mais n’ayez pas honte de le dire ! Vous l’avez pas vu parce qu’il y était plus !
LÉODAGAN,Alors ? Où est-ce que vous étiez encore fourré ?
PERCEVAL,J’étais pas bien loin…
PERCEVAL,Je suis pas allé aux truffes !
LÉODAGAN,Alors où ?
PERCEVAL,Ben… je sais plus…
GUENIÈVRE,Captive dans tes yeux…»
GUENIÈVRE,Je me demande bien ce qu’elle vous fait…
ARTHUR,Vous voulez vraiment qu’on parle de ça ?
ARTHUR,Qui c’est qui vient vous voir pour vous dire ça ?
GUENIÈVRE,Qu’est-ce que ça change ?
GUENIÈVRE,Mais je disais ça comme ça !
DEMETRA,Ça va ?
DEMETRA,Excusez-moi.
DEMETRA,C’est contre qui ?
DEMETRA,Ça va mieux ?
ARTHUR,Mais bien sûr que ça va mieux. Faut pas faire attention…
ARTHUR,Eh ben voilà. Ça va mieux. Regardez : (chantant) —                                           « Belle qui tient ma vie…»
ARTHUR,« -ptive dans… tes » (parlant) Vous la connaissez pas ?
DEMETRA,Non.
ARTHUR,Ça fait rien.
LÉODAGAN,Peut-être la bouffe…
ARTHUR,Qu’est-ce que ça peut vous foutre ?
PERCEVAL,C’est pour savoir si on en parle plutôt maintenant ou si on attend demain.
BOHORT,Seigneur Perceval ! Qu’est-ce que vous faites ? C’est le laboratoire de Merlin !
PERCEVAL,C’est lui qui m’a dit de venir chercher un truc…
BOHORT,Vous avez pas peur d’entrer là-dedans ?
MERLIN,Je peux pas lancer le sort sans ma dent de requin !
ARTHUR,Ils vont sûrement arriver !
LÉODAGAN,Ils savent pas lire ! Ils risquent pas de reconnaître un bouquin !
MERLIN,Oui ! Mais il me faut la dent.
KARADOC,Deux cidres.
KARADOC,C’est rapport à la magie.
KARADOC,Faut qu’on la ramène à l’Enchanteur. Il paraît qu’il doit faire une incantation de je-sais-pas- quoi…
PERCEVAL,Il veut attirer le mauvais œil sur les ennemis d’en face.
KARADOC,C’est pour ça qu’ils nous ont envoyés nous !
PERCEVAL,Voilà.
LÉODAGAN,Une dent de furet ?
ARTHUR,Arrêtez de discutailler et balancez votre sort !
LANCELOT,On n’a presque plus d’hommes !
KAY,Sire ! Les troupes ennemies se reforment !
ARTHUR,Magnez-vous le train !
MERLIN,Flûûûûûte !
MERLIN,Ça y est !
ARTHUR,Mais qu’est-ce que c’est que ce sort de merde ?
KAY,Sire ! L’ennemi est désorienté !
LÉODAGAN,Comment ça se fait ?
LANCELOT,Ils se marrent ! Ils sont en train de se payer nos têtes !
LANCELOT,Appel.
GUENIÈVRE,Ça a pas été trop dur ?
LÉODAGAN,Qu’est ce que vous voulez faire entrer ? je vous dis qu’il est mort…
LÉODAGAN,C’est vrai qu’on vous voit pas tellement souvent…
LANCELOT,Qu’est-ce que vous appelez « cette histoire d’impôt » ?
LANCELOT,Comment ?
LANCELOT,… Six ans.
JACCA,Non mais ça va mieux.
LÉODAGAN,Et que finalement vous êtes pas mort…
LANCELOT,Ça fera deux mille cinq cents pièces d’or.
LANCELOT,Comment ?
LANCELOT,Surveillez-vous.
LÉODAGAN,Vous avez pris part aux combats ?
JACCA,il participe ? Vous vous foutez de moi ? Il a au moins quatre-vingt-quinze ans ! Il a la jambe raide et il est tellement bigleux qu’il trouve même pas sa bite pour pisser !
LANCELOT,Comment ?
JACCA,Au temps pour moi.
JACCA,C’est-à-dire ?
ARTHUR,Vous payez rien maintenant mais vous rentrez dans l’armée de Kaamelott pour un certain temps.
JACCA,Combien de temps il faudrait que je reste dans l’armée ?
LANCELOT,Ah là… AU moins dix ou douze ans…
LÉODAGAN,Tout ça pour pas se battre ! Vous mériteriez dix ans de cachot !
ARTHUR,Mais je croyais que vous n’aviez pas deux mille cinq cents pièces d’or ?
LANCELOT,De quoi ?
ARTHUR,En plus de nous ?
LANCELOT,Surveillez votre langage ou je vous fais enfermer !
JACCA,Un truc du genre « responsable des pigeons voyageurs » ou autre…
DEMETRA,Quoi ?
ARTHUR,Vous avez une manière de présenter ça !
ARTHUR,Ça dépend comment on le présente.
LÉODAGAN,Il faudra quand même bien qu’on arrive à discuter avec ces Bon Dieu de Romains !
LÉODAGAN,Voilà. Ils nous prennent pour des cons.
LÉODAGAN,Encore !
ARTHUR,Eh ouais. Encore.
BOHORT,Ils sont dans une dynamique de coup d’État.
ARTHUR,Vous voyez bien que c’est pas possible…
DEMETRA,Qu’est-ce qu’il raconte ?
DEMETRA,Il va péter sa face à qui ?
DEMETRA,Je vous signale que vous êtes tous les deux dans mon lit et que je me trouve sympathique de pas déjà vous avoir foutus dehors !
DEMETRA,On n’a pas vérifié…
ARTHUR,Quoi ?
DEMETRA,Alors qu’est-ce qu’on fait ?
DEMETRA,Ho ! Hé !
ARTHUR,… qui m’a piqué ? (réalisant) Hein ? Qu’est-ce qui se passe ?
ARTHUR,Eh ben quoi ?
DEMETRA,Il dort !
ARTHUR,Qu’est-ce que vous voulez qu’il fasse ?
DEMETRA,Je croyais qu’il devait surveiller les scorpions !
ARTHUR,Ho ! Ho ! Qu’est ce qui se passe ? Ça va pas bien ?
ARTHUR,C’est-à-dire ?
ARTHUR,De quoi elle se mêle ? Je vous assure…
ARTHUR,Ça joue… Ça joue.
MERLIN,Ça vient ! Je peux pas faire plus vite que la musique !
MERLIN,Dans le vin parce qu’il faut que ça se mélange au tanin et puis faites ce que je vous dis et cherchez pas à comprendre !
DAME SÉLI,Allez. Et j’espère que ça va lui mettre un coup de fouet…
MERLIN,Attendez-vous à des triplés !
LÉODAGAN,Et on peut le goûter pour donner son avis ?
DAME SÉLI,Non ! Pas celui-là !
LÉODAGAN,Mais vous allez me dire pourquoi ?
DAME SÉLI,Parce qu’elle est plus près !
GUENIÈVRE,Quel rapport avec les gosses ?
DAME SÉLI,Je me comprends.
ARTHUR,Qu’est-ce que je me sens mal… Ça tourne…
GUENIÈVRE,Il y a vraiment des fois où il y a quelque chose qui m’échappe.
ARTHUR,Mais c’était pour pas contrarier votre mère ! Pour une fois qu’elle me sert autre chose que des reproches ! Vous pourriez apprécier !
GUENIÈVRE,Mon pauvre ami…
DAME SÉLI,Vous pouvez pas comprendre.
PERCEVAL,Sire ! Le Chef des Burgondes est au château ! Il exige un entretien immédiat !
PERCEVAL,Pourquoi ?
ARTHUR,J’ai pas d’interprète qui parle le burgonde.
PERCEVAL,Il est venu avec son interprète !
DEMETRA,Vous y allez ?
ARTHUR,Évidemment.
ARTHUR,Qu’est-ce qu’on fait ?
ARTHUR,Bon dites-lui qu’on accepte les conditions.
ARTHUR,Comment ?
ARTHUR,Mais on s’en fout ! On a pas à se farcir les stratagèmes d’un interprète !
ARTHUR,Mais est-ce que vous allez finir par traduire ce qu’on vous demande ?
ARTHUR,C’est pas dommage !
ARTHUR,Non mais c’est pas un interprète… Il me faut… attendez… Oui il me faut un interprète mais…
ARTHUR,Un interprète mais pas vous.Voilà.
ARTHUR,Super. J’aime autant vous dire que des types qui parlent le patois burgonde… (désignant le
ARTHUR,Quoi ?
ARTHUR,Si.
GUENIÈVRE,Qu’est-ce que ça peut bien vouloir dire ?
LANCELOT,Sûrement histoire de montrer qu’il craint personne…
AELIS,Je vous signale que j’entends tout ce que vous dites !
AELIS,La forêt exige un sacrifice !
LANCELOT,Mais quel être humain ? Peu importe ?
LANCELOT,Une femme ? Il n’en est pas question !
LÉODAGAN,Bah pourquoi ?
LÉODAGAN,Qui alors ?
LANCELOT,La Reine ! Il n’en est pas question !
AELIS,Allez ! Un beau geste ! Elle souffrira pas !
AELIS,Mais pourquoi ?
MERLIN,C’est « l’Esprit des Loups. »
ARTHUR,Oui bah. Il ira se trouver quelqu’un d’autre que la Reine.
DAME SÉLI,Une surprise ? Mais vous m’avez rien dit !
