index,Personnage,Réplique
22,Bohort,"""Séchez vos larmes mon Epousée, je m'occupe d'aller chercher ces petites salopes par la peau du fion !"""
23,Bohort,"""Pardon, mère."""
24,Les Jumelles du pêcheur," Nous, si vous réfléchissez bien, on a quatre bras. Avec les vôtres, ça fait six ! Posez tout ça sur le trône, imaginez un peu les possibilités…"
25,Le Jurisconsulte, Peau de vache.
26,Le Jurisconsulte, Z'êtes un glandeur. Un gros... GLANDEUR !!! 
27,Le Jurisconsulte," Pour le moment je... Je m'attelle à dresser un petit portrait de la situation exacte des archives. J'ai envie de dire que le bilan est plutôt positif même si, de toute évidence, on se trouve en présence d'un classement-cataloguage qui mériterait une petite optimisation mais bon... Disons qu’on peut tout trouver, à condition qu’on tombe dessus !"
28,Le Jurisconsulte," Ah non ! AH NON ! On ne se vautre pas dans la bouffe, c'est INTOLÉRABLE !!! Vous allez arrrrrrêter !!!"
29,Le Jurisconsulte," Ah mais vous êtes pas ma mère, hein ! Si j'ai envie de mettre des grosses morues dans mon plumard, JE FAIS CE QUE JE VEUX !!! Soyez gentille, lâchez-moi la chemise…"
30,Le Jurisconsulte, BANDES DE TROUS DU CUL !!!
31,Le Jurisconsulte, Mais vous êtes une grosse morue !
32,Manius Macrinus Firmus," Une nuit, une nuit à attendre... Une longue nuit avant de savoir si le souverain ennemi acceptera un traité de paix, si fragile, si friable qu'on aurait même de la peine à le prendre au sérieux. Des solutions précaires, du rafistolage, voilà tout ce que j'ai su inventer. La Bretagne résistait quand je suis arrivé, elle résistera encore quand je partirai. Je ne saurais dire pourquoi, je conserve encore, rescapé de mon découragement, une curiosité : existe-t-il quelqu'un parmi nous déjà - ou encore à naître - qui se destine à restaurer l'ordre sur l'île de Bretagne ? Et s'il existe, que peut-il bien posséder que je ne possède moi-même ? D'où vient-il ? Est-il romain ? Quelle arme tient-il à sa ceinture ? Celui qui vaincra là où j'ai échoué, je voudrais voir son visage une fois, car je lui conserve encore, rescapé de mon découragement, ma curiosité."
33,Manius Macrinus Firmus," C'est tout ? Treize ans qu'ils me laissent pourrir sur pied, dans ce pays de merde ! Treize ans ! Maintenant ils m'envoient un message, il faut que je rentre chez moi ?! [...] Mais qu'est ce qui leur fait croire que ça existe encore chez moi ?!! Est-ce qu'un type qui a foutu le camp treize ans peut encore avoir un chez soi ? C'est complètement absurde..."
34,Manius Macrinus Firmus," Oh c'etait trop triste ce qu'il y avait dedans. Ça donnait une fausse image de moi. Parce que je suis d'un naturel rieur. D'après ma grand-mère en Macédoine, quand j'avais deux ans, j'étais blond, bouclé, et je souriais a tout le monde. Même aux étrangers. Toi par exemple, si tu m'avais connu quand j'avais deux ans, je t'aurais sûrement souri. Tu sais, comme j'ai détruit les tablettes, tu tomberas peut-être sur des gens qui voudront savoir comment j'étais. Dis-leur ça : blond, bouclé, toujours le sourire aux lèvres. Blond, bouclé, toujours le sourire aux lèvres... Toujours le sourire aux lèvres."
35,Mevanwi," Je voudrais, pour une fois dans ma vie, ne pas avoir l’impression de dormir dans un chenil ! […] Karadoc, soit vous montez dans ce bain, soit vous me perdez."
36,Mevanwi," Selon Karadoc, un lit n’est pas un lit s'il n’y a pas de quoi manger une semaine dedans sans en sortir."
37,Mevanwi, Une fois j'ai dormi avec un porc pendant une semaine. [Arthur: Un porc entier ?] Un porc... vivant.
38,Nessa," Je tiens à dire à monsieur que je suis vraiment pas contente ! J’ai longuement parlé avec mes collègues et d’après ce que j’ai compris, vous avez fait des cochonneries avec presque toutes !"
39,Nessa, Monsieur va me faire le plaisir d'avaler son petit déjeuner et de s'occuper un peu de moi !
40,Quatro," Si je dis ça me dit rien, c'est que ça me dit rien. Note bien, si ça me disait, je t'enverrais chier tout pareil. Tu vois, je suis honnête."
41,Quatro, Les gars ! Il y aurai moyen de réduire la voilure sur la connerie ?
42,Quatro, La ferme Aquila... [...] Mais ta gueule toi aussi ! Ils sont cons ces wisigoths ! Et après vous chouinez parce qu'on fait des blagues sur vous !
43,Quatro, Il vous faut du bâton dans la gueule pour amorcer le mouvement ?
44,Lucius Sillius Sallustius," Regarde, vois ! Cette glorieuse cité cosmopolite, regarde... Carrefour des civilisations, hôtesse orgueilleuse de peuplades fascinées, regarde ! On nous reproche assez qu’il n’existe plus de vrais romains, hein ? Hein ? Allez trouve un breton, trouve."
45,Lucius Sillius Sallustius," Ça y est ! C’est leur dernière saison aux débiles. Tu peux préparer les outils, on passe directement de la discussion à la désintégration."
46,Lucius Sillius Sallustius,"  Rien à foutre ! Tu peux même les crucifier sur une estrade au milieu du forum si ça te chante, c’est moi qui paie l’orchestre."
47,Lucius Sillius Sallustius," Je vais poser une question simple : et vous, vous le méritez ? Ah non mais attendez, est-ce que vous le méritez, est-ce que vous méritez votre place ?! Lurco ! Tu devais aller en Germanie... C'est ta tante qui t'a fait entrer au sénat. Pisansius ! Pas une seule année dans la légion, pas une seule ! J'm...e demande même parfois si t'as déjà tenu une arme dans ta vie... Destisius ! C'est ton père qui a donné la moitié de ses terres pour que quelqu'un puisse prendre ta place en Afrique... C'est vrai ou c'est pas vrai ? Vous êtes tous des planqués, tous, tous, tous, tous, tous... [...] Vous allez me signer cette tablette, parce que le p'tit mérite largement son grade autant que vous vous méritez votre place au Sénat... Largement."
48,Séfriane d'Aquitaine," C'est vrai que, dans votre position, il y a plus de chance de subir un siège plutôt que d'en organiser un."
49,Séfriane d'Aquitaine," Je suis assez grande pour voir que si vous achetez des troncs d'arbres à ce prix-là, vous êtes en train de vous faire enfler !"
50,Séfriane d'Aquitaine," Vous croyez quoi ? Que ça s'trouve dans l'cul des poules, le fric ?"
51,Séfriane d'Aquitaine," (à Arthur, en le secouant) NON MAIS VOUS ALLEZ FAIRE VOTRE BOULOT, OUI ? (elle lui donne une claque, puis l'air de s'excuser) J'suis enceinte... J'suis enceinte !..."
52,Séfriane d'Aquitaine, Quoi ? Qu'est-ce qu'y a ? On cherche la marave ?
53,Séfriane d'Aquitaine," Quand je vais raconter à mon oncle combien vous raquez pour vos béliers pourris, il va bien se marrer !"
54,Le tricheur," Ça fait une demi-heure que j'essaie, j'arrive pas a le pigeonner, il voit tout.... L'oeil de taupe…"
55,Ygerne," Du temps de Pendragon, on avait le sens du dramatique : le Lac, Stonehenge, Avalon… Maintenant, dès qu’ils croisent un dragon, ils font un meeting."
56,Ygerne, (À propos du chateau de Kaamelott) Vulgaire ? Oui... Mais pas seulement
57,Ygerne," À Tintagel, on mange quand on l'a mérité, quand on sait qu'on a accompli ses commandements avec humilité et qu'on a glorifié sa famille !"
58,Ygerne, (En parlant d'Arthur et en le regardant d'un air narquois) Au cas où il aurait une petite « faim-faim » !?
59,Ygerne, Dîtes tout de suite que vous avez honte de votre éducation.
60,Ygerne," Mais je vous empêche pas de faire la guerre, mais vous la ferez guéri !"
61,Ygerne," Allez-y ! Défilez, les petites fourmis. Mettez-vous bien en rang... Venez mesurer votre risible destin à celui des Pendragon... Venez constater la navrante insignifiance de vos existences. Vous avez pensé que les dieux allaient enfin reconnaitre en vous le souverain que personne n'avait vu ? Que vous alliez enfin donner au monde le spectacle de votre avènement ? Quel roi suis-je ? Un roi sévère ? Un roi conquérant ? Vous n'êtes rien... RIEN ! Vous retournerez chez vous comme vous en êtes partis... ANONYMES ! Paisiblement, mon fils viendra reprendre ce qui est à lui... Et vous mettrez un genou en terre. Et vous baisserez les yeux. Et vous jurerez fidélité. Car c'est tout ce qu'il vous reste !"
62,Ygerne, Vous êtes des porcs !
63,Attila,"""Je vais tout casser, ici, MOI ! Kaamelott, Kaamelott... Y va rester un tas de caaaailloux, comme ça ! Je veux l'or, tout l'or sinon c'est la guerre !"""
64,Attila,"""Je te mettrai à  genoux, Arthur de Bretagne !"""
65,Attila,Pourquoi pas ?
66,Attila,Alors les femmes ! [...] Donnez-nous les femmes ! [...] Tous les femmes !!! [...] AAAAAAHH !!!
67,Attila,Elle voumit ?
68,Attila,"""Arthur ! Kaamelott, c'est zéro ! Des cailloux, des cailloux, des cailloux... ça m'énerve ! !"""
69,Attila,"""Cette fois-ci, on part avec les femmes ! HAHAAAHA !!!!"""
70,Belt,"""Sire, vous êtes quand même un sacré souverain. Accueillir des péquenots qui sentent la bouse, comme Ãça, dans votre chapeau, ben je dis château !"""
71,Belt,"""Sire, est-ce qu'on est vraiment obligés de perdre du temps avec tout les pignoufs de la région qui se prennent pour des exploitants ?"""
72,Belt,"""Pardon ! Moi, je suis peut-être un peu inattentif parce que je dois subir de fortes pressions dues à  ma condition, mais j'ai très bien entendu qu'on voulait du pognon."""
73,Belt,Moi J'ai mis quatre mois pour mettre cette betterave de côté ! Eh bah je la donne pas !
74,Belt,""" Qui méritait de mourir gentiment, déployé sur sa terre grasse, Pour qu'un souffle de joie, lui emporta la caresse consolante, d'un tourbillon de pollen !"""
75,Breccan,"""Sire, on en a déjà  parlé de la pierre ! Je peux pas monter une pierre d'une toise et demie dans un escalier en colimaçon !"""
76,Breccan,"""Le cuir, ça restera toujours le cuir. Le cuir, ça traverse les âges, les frontières, les modes. D'autant que je  vous ai pas mis d'la vache moisie, attention ! C'est d'la tannerie d'luxe ! Assemblé au crochet de six ! Y'a des heures de main d'Oeuvre derrière !"""
77,Breccan,"""ça vous dérange si jemets ma petite griffe là  ? Si y'a un chef de clan qui vient poser ses miches par là  devant et il trouve ça cossu... Ben le jour où il voudra faire un buffet ou un plumard sur mesure... il saura oû m'trouver, quoi."""
78,Breccan,"""Ben, d'la réclame beau Dieu !"""
79,Breccan,"""C'est carré-carré chez vous, hein ?"""
80,Calogrenant,"""Passe de côté, esquive, attaque droite, hop ! La dague dans la main gauche, garde inversée et crac ! Dix pouces de ferraille dans les côtelettes !"""
81,Calogrenant,Vous n'avez qu'à  considérer que je suis officiellement cul nu !
82,Calogrenant,Quoi ? Vous voulez que j'humilie ma terre natale pour une connerie d'armure rouillée ?
83,Calogrenant,""" Mais c'est un petit mâle, il s'appelle... « Ferme ta gueule ». C'est que quand il est né il arrêtait pas de couiner..."""
84,Calogrenant,"""Attendez, on dit 'chef de clan' parce qu'il faut dire quelque chose, hein ! Mais Conran, il doit y avoir trois cahutes sur la plage, ils sont une dizaine à  tout casser, et c'est tous des clodos, alors..."""
85,Calogrenant,(En Parlant d'Hervé de Rinel) Ah mais c'est ça qui pue !
86,Calogrenant,"""Non mais là  les chrétiens c'est pas pareil, ils aiment bien le fric. Il parait même qu'ils sont forts pour ça."""
87,Calogrenant,"""Alors j'ai pas tout compris, mais ils ont eu un probème avec leur cadeau, du coup pour pas venir les mains vides, ils vous ont ramassé des amanites jonquilles. Ils disent qu'ils sont désolés mais qu'il y a que ça cette saison, et qu'il faut bien les faire bouillir sinon ça donne la diarrhée."""
88,Capito,"""(Un sénateur : - J'vais vous dire : le jour où j'ai accepté d'être sénateur, j'aurais mieux fait de m'péter une jambe.) ça peut encore s'arranger."""
89,Capito,"""ça s'enferme les registres ! (Glaucia : Ah bon ?) Ouais ! Et les trous du cul qui font pas leur boulot, ça s'enferme aussi !"""
90,Capito,"""(Glaucia : - Ave Publius Servius Capito, t'avais demandé un rendez-vous ?) Non. J'ai pas envoyé de fleurs non plus."""
91,Capito,"""(S'adressant Ã  Merlin) Vous préférez monter dans la barque, maintenant, de plein gré, ou dans vingt secondes avec un coup de pompe dans l'oignon ?"""
92,Capito,Tu salues plus les généraux ? C'est pourtant largement au-dessus de ton grade merdique.
93,Capito,"""Alors, sans vouloir te commander, aurais-tu l'obligeance de bien vouloir te magner le cul ?"""
94,Capito,"""Sans rire, vous foutez quoi là -dedans, àÃ  ? Pourtant, vous croulez pas sous les visites diplomatiques, il me semble ? Une fois tous les dix ans, vous pouvez donner un coup de balai, non ?"""
95,Capito,"""J'ai à peu près compris le principe du double-jeu, mais je ne saurais dire pourquoi, j'ai l'impression que tu nous l'as mis dans l'os... Et je pense que si tu refous les pieds à  Rome - ne le prends pas mal hein... je te ferai éliminer."""
96,Le roi burgonde," Ah, Biographie ! (Pet)… Biographie…"
97,Le roi burgonde, Arthour !… Couhillère !
98,Le roi burgonde," Interprèèète ? Interprèèète, couhillère ?"
99,Le roi burgonde," La fleur en bouquet fane, et jamais ne renaît !"
100,Le roi burgonde, Arthour !… Pas changer assiette pour fromage !
101,Le roi burgonde," Couhillère, couhillère, couhillère ! Ave Cesar ! (fait un vent)"
102,Le roi burgonde, MÉTÉOOOOOOOOO !
103,Le roi burgonde, Troupa ! Troupa ! Troupatroupatroupatroupa ! TROUPA ! HAHAHAHAHAHAHA ! Troupaskaya !
104,Le roi burgonde, Arthour ! On est fort en pomme.
105,Le roi burgonde, Arthour ! Qu'est-ce à dire que ceci ? ON EST FORTS ! En pommes…
106,Le roi burgonde," Non posso volo, no tépo mayo. Un posso volo, tandolon toulo. Tamasso (pet) tanlamalasso. Tamasso (pet) les oiseaux petits (sur l'air de ""À la volette"")"
107,Le roi burgonde," Les oiseaux sifflent, le printemps siffle !"
108,Le roi burgonde," Arthour, j’apprécie les fruits au sirop !"
109,Le roi burgonde, SALSIFIS !!!!!!
110,Le roi burgonde, Jouer ! Guerre ! Salsifis ! (fait un vent)
111,Caius," N'empêche que chez nous, on sait construire ! Les aqueducs, c'est quand même un petit peu plus classe que vos murs en merde séchée… Enfin, je dis ça, je dis tout !"
112,Caius," On fait marrer tout le monde avec nos chenilles à la purée d'fraises et nos couilles d'oursins aux amandes, et je sais plus quelles autres saloperies !"
113,Caius," MAIS ARRÊTEZ J'ARRÊTE PAS DE RETROUVER DES P'TITES BOULETTES DE CACA PARTOUT ! Me prenez pas pour un con, sans blague, c'était une bergerie ici ?"
114,Caius," J'ai toujours dit que je supportais pas les jupes ; mais c'est l'uniforme réglementaire, j'y suis pour rien !"
115,Caius," Jamais je ne trahirai. Ave César ! Ave César ! […] La seule chose que je voudrais savoir, c’est si dans deux jours, je change d’avis… Est-ce que la proposition tient toujours ?"
116,Caius," Le poisson qui étouffe sur la berge remue plus que celui qui est dans l’eau. C’est bien la preuve de ce que je dis : si on se débat, c’est qu’on est en train de crever."
117,Caius," Non, mais là vous auriez pu prévenir qu’il y avait un couvert de plus. Bon ça va que j’ai pas fait à manger, mais bon, c’est chaud."
118,Caius," Ah bah en fait, c’est tout moisi seigneur breton. Parce qu’en plus, il faut que je nourrisse des mecs."
119,Caius, Hé les connards ! Vous pouvez faire griller un porcelet s'il vous plaît ?
120,Caius," Je bosse le jour, moi. Je suis dans l'armée, je tiens pas un stand de crêpes."
121,Caius, J'y suis dans ma maison pourrie. Les 2 pieds dans la merde de poules. Ça vous va ?
122,Caius," Ah mais il y a un fouet ?! [...] Ah pardon... Ah ouais mais j'en sais rien, moi je vois pas d'ici... Mais si il y a un fouet je parle, c'est Arturus qui vous a tapé dessus... C'est bon là ? vous pouvez me détacher s'il vous plait ?"
123,Demetra, Est-ce que je suis votre maîtresse préférée ?
124,Demetra, Vous vous rendez compte que vous amenez des boucs dans ma chambre ?
125,Demetra," On vous offre des boucs, à vous, maintenant ?"
126,Demetra, Parce que j'ai le même type que les Jumelles maintenant ?
127,Demetra," Votre père, il a les cheveux noirs. Alors on continue de traiter tout le monde de bâtard ou on se calme ?"
128,Demetra," C'est vexant de me ressembler ? C'est pour ça qu'on vous a choisi et qu'on vous a sorti de votre cambrousse, alors du respect !"
129,Demetra, Et surtout : pensez POUVOIR !
130,Demetra," Par exemple, je trouve que quand elle est partie du jour au lendemain sans prévenir, elle s'est conduite comme la reine des putes."
131,Elias de Kelliwic'h," Si j’échoue, je garde la butte aux Cerfs et je fais tomber une pluie de calamités sur le royaume par vengeance ! C’est pas pour rien qu’on m’appelle « le Fourbe ». Si je réussis, je garde la butte aux Cerfs, plus… Le tertre des Âmes…"
132,Elias de Kelliwic'h, Y'a toujours au moins deux solutions à un problème.
133,Elias de Kelliwic'h," Une pluie de pierres en intérieur, donc ! Je vous prenais pour un pied de chaise, mais vous êtes un précurseur, en fait !"
134,Elias de Kelliwic'h,"  Oh vous, toujours vous, mais allez chier dans une fiole, on verra après."
135,Elias de Kelliwic'h," Écoutez, si j'avais un sort pour contrecarrer les volontés divines, je serais pas en train de faire des potions de virilité pour tous les mous de la tige du pays breton."
136,Elias de Kelliwic'h," Croyez bien que si j'avais, je le dirais pas ! Parce que voir celui-là passer pour un conneau devant tous les druides du continent, j'aime autant vous dire que je risque pas de louper ça ! J'vais même amener des copains."
137,Elias de Kelliwic'h," Je veux insinuer que vous n'avez pas de connaissances suffisantes pour faire des crêpes. Alors vous imaginer en train d'essayer de bricoler des plaques de dissimulation, c'est à pisser de rire."
138,Elias de Kelliwic'h," Mais retournez à l’état sauvage, espèce de con. Foutez le camp dans les montagnes avec une paire de chèvres. On vous achètera vos fromages, promis. […] Vous le sentez pas, l'appel de la nature, là ? Les animaux de la forêt, y z'ont pas besoin d'un toubib ? […] Tirez-vous d'ici. Définitivement. Et laissez bosser ceux qui savent faire ! Y a pas de place pour les amateurs ici."
139,Elias de Kelliwic'h, Non. Je lui ai dit qu'on avait pas besoin d'un con d'herboriste sur le champ de bataille et qu'il ferait mieux de rester glander à l'abri plutôt que de venir nous faire chier sur le terrain. [...] Non mais au bout d'un moment faut dire les choses! Votre Merlin il est bien gentil mais il sait pas faire de magie! Si on vous collait un collaborateur qui connait rien à la tactique militaire je me demande bien ce que vous feriez.
140,Elias de Kelliwic'h," Dans la vie, faut bosser pour personne, et y faut faire bosser personne ! C'est le secret de la liberté. […] Rien que d'imaginer que je retire l'épée du rocher et que je me retrouve à la tête de ce bordel, ça me fait de la spasmophilie !"
141,Elias de Kelliwic'h," Ecoutez ma p'tite dame, ya des fois où y faut sentir le vent tourner et mettre du pognon à gauche pour filer à la concurrence [Mevanwi : où ça ? Chez Lancelot ?] [...] Pour aller là-bas, y faudrait que j'aie des principes, une quête à accomplir [Mevanwi : Et vous n'en avez pas ?] Si, m'en mettre plein les fouilles !"
142,Gauvain," Mon oncle, mon cœur est empli de la noblesse de cette quête !"
143,Gauvain," Je me sens la fureur de l’ours ! […]
Je me sens le courage de l’oiseau ! […]
Je suis sautillant comme le mulot ! […]
Je frétille comme une p’tite truite ! […]

J’ai la vigueur d’un insecte !"
144,Gauvain," Et à un moment... Le sorcier s'est mis à nous menacer, avec ses parties génitales."
145,Gauvain," Mon oncle, n'est-ce pas vous même qui m'avez dit que rien ne remplaçait une véritable amitié et qu'en cas d'urgence c'était la seule corde à laquelle on pouvait vraiment se raccrocher ?."
146,Gauvain, 
147,Gauvain," Noblesse bien remisée ne trouve jamais l'hiver à sa porte... Non, porte close…"
148,Gauvain," Nous sommes jeunes, nous marchons à pieds… J’opterai donc pour un surnom en rapport : ""les Petits Pédestres""."
149,Gauvain," Seigneur Bohort, pouvons-nous nous retirer afin d'aller prendre notre goûter ?"
150,Guenièvre," Ah tiens, demain midi y a des côtes de porc."
151,Guenièvre," Ah tiens, aujourd’hui j’ai fait tailler le rosier de l’arrière-cour parce qu’il en avait drôlement besoin. […] Et vous, vous me racontez pas votre petite journée ?"
152,Guenièvre," J’y connais rien, hein, mais… À votre avis, le fait que vous me touchiez pratiquement jamais, ça a une influence sur la fécondité ?"
153,Guenièvre," Mais avant ma vie, c’était de la merde vous entendez ? Recevoir le chef de ci, le roi de mi, toujours polie, toujours bien mise, le symbole de la nation bretonne, ha ! Il en faut bien des compensations pour encaisser toute ces conneries hein ! Toujours s’occuper de tout, pis surtout de vous, parce que vous avez des responsabilités ! Et qui s’occupe de moi pendant c’temps ? Alors oui, maintenant qu'y a plus de pâte d’amande, je tourne en rond, je suis sur les nerfs ! J’ai pas d’amis, pas de loisirs… Comme vous me touchez pas, les choses de l’amour je m’assois dessus, et je parle au figuré, alors je m'suis plongée dans la pâte d'amande ! Quand je vous regarde et que j'vois comment vous m'traitez, hein, je m'dis que j’aurais meilleur compte d’aller d'ici jusqu’à Rome à pied pour en chercher parce que c’est finalement la meilleure chose qui me soit arrivée…"
154,Guenièvre," Ils n'ont pas de bras les oiseaux, c'est affreux, j'ai toujours l'impression qu'il vont culbuter vers l'avant, ça n'a aucun sens."
155,Guenièvre," De toute façon, Calogrenant, c'est un abruti !"
156,Guenièvre," Vous savez où vous pouvez vous la mettre, votre potion ?"
157,Guenièvre," Si votre père était vivant, il se retournerait dans sa tombe."
158,Guenièvre," Eh ben moi une fois, j’ai pissé par la fenêtre !"
159,Guenièvre, Vous me prenez vraiment pour une conne.
160,Guenièvre, Boum ! La duchesse d’Aquitaine !
161,Guenièvre," Mais je n'ai rien à dire moi, on a rien à dire quand on est con comme une chaise !"
162,Guenièvre, Mouais. Méfiez-vous des cons. Y en a qui vont beaucoup plus loin qu'on ne pense !
163,Guenièvre," Ah d'accord, vous me prenez vraiment pour la reine des pécores."
164,Guenièvre," Vous savez, euh si on fait fouetter les ouvriers et qu'on menace de les brûler vifs, ils peuvent peut-être finir tout à l'heure, hein... (regard désespéré à Arthur) Non ? Oh bon, bah… je vais… pleurer un petit peu… (sanglots)... Excusez-moi."
165,Guenièvre," Oh je vous en prie, faites, ça fait tellement longtemps que je ne me suis pas évanouie dans mes urines…"
166,Guenièvre," Ah, ça y est, il arrive le pipi !"
167,Guenièvre," Ça vous ennuie, si j'me taille les veines ?"
168,Guenièvre," Mais qu'est-ce que vous déconnez, Seigneur Bohort ? Vous avez picolé ?"
169,Guenièvre," On a beau expliquer tout ce qu’on veut expliquer… Au bout d’un moment, pour savoir faire du cheval, il faut faire du cheval !"
170,Guenièvre," Eh ben, on est pas sortis du sable !"
171,Guenièvre," Ah non, avec les jolies seulement. C’est de là que j’ai conclu que, comme y m’touchait pas, je faisais moi-même partie des grosses mochetés."
172,Guenièvre," [Excalibur] Elle est plantée ? (Arthur : « tout à fait. ») Bon ben mon petit vieux, vous allez prendre vos cliques et vos claques, et vous allez vous trouver une chambre a l'étage des visiteurs. Moi je suis reine de Bretagne, je dors avec le roi, pas avec un petit bonhomme qui n'as même plus son épée. […] Je vous signale que je connais parfaitement les lois bretonnes, et que si pour une raison ou pour une autre, le roi n'est plus roi, c'est la reine qui doit désigner celui qui assumera le pouvoir en son absence. Alors je sais pas encore qui je vais choisir, mais certainement pas vous."
173,Guenièvre," Je voulais savoir pourquoi vous laissiez tous vos chevaliers former des clans séparatistes, alors que l’une de vos plus importantes missions a toujours été de fédérer les clans existants autour de votre royaume et de la quête du Graal ? Enfin c'était pas tout à fait ça…"
174,Guenièvre," Quand vous étiez roi, vous étiez pas censé faire des cochonneries avec la reine ?"
175,Guenièvre," Mais je n'comprends pas, c'est pas des moutons ça ? […] Bah ils sont tout… tout bizarres… […] Tondus ? Oh mon Dieu mais quelle horreur ! Mais pourquoi vous avez fait ça ?"
176,Guenièvre," Le sang qui vous manque, moi je l'ai vu, hein. […] Le sang qui vous manque, je l'ai vu. Je dors avec ma mère maintenant, en Carmélide, toutes les nuits. Parce qu'à chaque fois que je ferme les yeux, je vois tout le sang qui vous manque par terre, avec vos coupures au poignet, et puis vos yeux vides... Alors, vous m'avez jamais avoué que vous vous étiez marié une première fois, hein, mais ça, vous me l'avez laissé voir. […] Oh si, si, si, si. Y'en a, d'autres, hein, des moyens de se buter. Se jeter du haut d'une falaise, par exemple, ça, ça emmerde personne. Mais vous, c'est pas ça que vous avez fait. Vous vous êtes ouvert les veines dans un bain que j'avais moi-même fait couler."
177,Guethenoc," Attention, attention… il va y arriver un moment où il y a des granges qui vont se mettre à flamber, faudra pas demander d’où ça vient !"
178,Guethenoc," Je vais rentrer mes vaches, là ; elles sont accessibles ou faut que je fasse monter un échafaudage ?"
179,Guethenoc," Ce que je dis, tout le monde s'en tamponne ! Je gueule, je gueule, j'pourrais gueuler dans le cul d'un poney ce serait pareil !"
180,Guethenoc," Non mais vous allez faire chier le monde pendant combien de temps vous encore, avec vos vaches pourries là, hein ?! Vous voyez pas que vous êtes pas fait pour l’agriculture ?! Hein, vous avez qu’à vous recycler dans la mendicité ! En plus, vous avez… Vous avez déjà la tenue !"
181,Guethenoc," Je lui rembourse mes genoux, et si il a filé la vérole à mes bêtes, chuis... chuis un marteau moi ! Je crame tout, moi ! Ma ferme, la sienne, celles des autres, le château, j'fais flamber la moitié de la Bretagne."
182,Guethenoc," Ces bourgeois, ils savent plus quoi inventer ! A force de lire et d'écrire, ils deviennent tous plus cons les uns qu'les autres."
183,Guethenoc," Excusez ! Y a moyen de vous entretenir deux secondes ? [Roparzh : Oui, c'est au sujet de quoi-t'est-ce ?] C'est au sujet que ce matin je suis passé par hasard devant vos enclos, et j'ai vu que vous aviez une jolie p'tite poule blanche ! [Roparzh : Oui, tout à fait !] Une jolie petite poule 'voyez, le bel animal […] C'est au sujet qu'en fait c'est la mienne, et que vous allez prendre un pain dans la tête, mais quelque chose de violent !"
184,Guethenoc," Vous avez tué ma poule ?! Non mais est-ce que vous êtes pas un peu marteau, vous ? Parce que moi ça y est, j'ai les nerfs qui commencent à vriller ! Je vous montre : moi je bondis comme ça, et je vous arrive dessus en piqué diagonal. Et là c'est l'hymne à la cruauté, hein, un autel dressé au culte de la barbarie !"
